UNIQUEID,WCHG_ID,ENA_RUN_ACCESSION,ENA_SAMPLE_ACCESSION,ENA_STUDY_ACCESSION,HAS_ALL_DRUGS,N_SUSCEPTIBLE,N_RESISTANT,N_DRUGS,BDQ,CAP,LZD,PZA,STM,FASTQ_FTP
site.10.subj.YA00027882.lab.YA00027882.iso.1,WTCHG_934394_71665142,ERR13288961,SAMEA115747618,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/061/ERR13288961/ERR13288961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/061/ERR13288961/ERR13288961_2.fastq.gz
site.10.subj.YA00030670.lab.YA00030670.iso.1,WTCHG_934394_71185190,ERR13289008,SAMEA115747665,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR13289008/ERR13289008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR13289008/ERR13289008_2.fastq.gz
site.10.subj.XD01868355.lab.XD01868355.iso.1,WTCHG_934394_70665042,ERR9992828,SAMEA110420185,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/008/ERR9992828/ERR9992828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/008/ERR9992828/ERR9992828_2.fastq.gz
site.10.subj.YA00063015.lab.YA00063015.iso.1,WTCHG_934394_71115183,ERR13289001,SAMEA115747658,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR13289001/ERR13289001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR13289001/ERR13289001_2.fastq.gz
site.10.subj.YA00062142.lab.YA00062142.iso.1,WTCHG_934394_71105182,ERR13289000,SAMEA115747657,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR13289000/ERR13289000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR13289000/ERR13289000_2.fastq.gz
site.10.subj.XD02432300.lab.XD02432300.iso.1,WTCHG_934881_72245200,ERR9993112,SAMEA110420469,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9993112/ERR9993112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9993112/ERR9993112_2.fastq.gz
site.10.subj.LA00632400.lab.LA00632400.iso.1,WTCHG_933275_73475323,ERR9992696,SAMEA110420054,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9992696/ERR9992696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9992696/ERR9992696_2.fastq.gz
site.10.subj.XD02843381.lab.XD02843381.iso.1,WTCHG_934880_71445120,ERR9993052,SAMEA110420409,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9993052/ERR9993052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9993052/ERR9993052_2.fastq.gz
site.10.subj.UH01746590.lab.UH01746590.iso.1,WTCHG_934881_73015373,ERR9993259,SAMEA110420781,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9993259/ERR9993259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9993259/ERR9993259_2.fastq.gz
site.10.subj.XD01874132.lab.XD01874132.iso.1,WTCHG_934394_70675043,ERR9992829,SAMEA110420186,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9992829/ERR9992829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9992829/ERR9992829_2.fastq.gz
site.10.subj.XD01001332.lab.XD01001332.iso.1,WTCHG_934394_70615037,ERR13288929,SAMEA115747586,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/029/ERR13288929/ERR13288929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/029/ERR13288929/ERR13288929_2.fastq.gz
site.10.subj.XD01660091.lab.XD01660091.iso.1,WTCHG_934394_70645040,ERR9992826,SAMEA110420183,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9992826/ERR9992826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9992826/ERR9992826_2.fastq.gz
site.10.subj.YA00119465.lab.YA00119465.iso.1,WTCHG_934394_70865062,ERR9992842,SAMEA110420199,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9992842/ERR9992842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9992842/ERR9992842_2.fastq.gz
site.10.subj.YA00121488.lab.YA00121488.iso.1,WTCHG_934880_70305006,ERR9992961,SAMEA110420318,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9992961/ERR9992961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9992961/ERR9992961_2.fastq.gz
